競賽場, 競賽類型, 警報, 剩余数, 最大空格, 比率, 出現回数
26_組合(戸江平多浜常), 三連単, 2  4  3, 1191, 1091, 1.092, 1188
28_組合(宮徳下芦福唐大), 三連単, 2  4  3, 1352, 1091, 1.239, 1171
35_大组(戸江平多浜常宮徳下芦福唐大), 三連単, 2  4  3, 2410, 1091, 2.209, 2359
16_児　島, 三連単, 3  1  4, 511, 632, 0.809, 316
28_組合(宮徳下芦福唐大), 三連単, 3  2  6, 1421, 1586, 0.896, 851
35_大组(戸江平多浜常宮徳下芦福唐大), 三連単, 3  4  5, 1058, 1251, 0.846, 2022
24_大　村, 三連単, 3  5  6, 2352, 2358, 0.997, 59
33_大组(桐蒲住丸若宮徳下芦福唐大), 三連単, 3  5  6, 2509, 2358, 1.064, 983
09_津, 三連単, 3  6  2, 2313, 2462, 0.939, 84
23_唐　津, 三連単, 3  6  4, 2080, 2484, 0.837, 66
13_尼　崎, 三連単, 4  3  2, 1228, 1465, 0.838, 108
19_下　関, 三連単, 5  1  2, 1305, 1085, 1.203, 100
24_大　村, 三連単, 5  2  3, 3591, 2647, 1.357, 30
10_三　国, 三連単, 5  4  1, 1853, 2002, 0.926, 73
21_芦　屋, 三連単, 6  1  5, 2958, 3285, 0.9, 51
21_芦　屋, 三連単, 6  2  5, 3942, 4305, 0.916, 28
13_尼　崎, 三連単, 6  4  3, 4723, 3949, 1.196, 33
15_丸　亀, 三連単, 6  4  3, 3219, 3949, 0.815, 54
28_組合(宮徳下芦福唐大), 三連単, 6  4  5, 3996, 4411, 0.906, 199
02_戸　田-08R, 三連複, 1  2  5, 102, 124, 0.823, 118
21_芦　屋-03R, 三連単, 1  2  6, 354, 366, 0.967, 7
23_唐　津-02R, 三連複, 1  3  6, 225, 196, 1.148, 37
22_福　岡-03R, 三連複, 1  3  6, 231, 196, 1.179, 74
29_組合(半天)-03R, 三連単, 1  5  6, 617, 765, 0.807, 320
24_大　村-05R, 三連複, 1  5  6, 310, 358, 0.866, 34
01_桐　生-11R, 三連単, 1  5  6, 1058, 765, 1.383, 8
21_芦　屋-03R, 二連複, 1  6, 164, 175, 0.937, 64
15_丸　亀-05R, 二連複, 1  6, 143, 175, 0.817, 81
16_児　島-06R, 二連複, 1  6, 149, 175, 0.851, 59
11_琵琶湖-06R, 二連単, 1  6, 199, 232, 0.858, 53
20_若　松-05R, 三連単, 1  6  3, 740, 896, 0.826, 15
26_組合(戸江平多浜常)-01R, 三連単, 1  6  4, 876, 990, 0.885, 87
10_三　国-03R, 三連単, 1  6  5, 1140, 1319, 0.864, 5
16_児　島-06R, 三連単, 1  6  5, 1242, 1319, 0.942, 5
19_下　関-05R, 単勝一着, 2, 60, 65, 0.923, 208
20_若　松-09R, 二連単, 2  1, 155, 171, 0.906, 100
19_下　関-05R, 三連単, 2  1  6, 1093, 750, 1.457, 10
06_浜名湖-09R, 三連単, 2  1  6, 690, 750, 0.92, 7
18_徳　山-03R, 二連複, 2  3, 273, 187, 1.46, 48
18_徳　山-03R, 二連単, 2  3, 273, 301, 0.907, 23
18_徳　山-04R, 二連複, 2  3, 213, 187, 1.139, 52
24_大　村-05R, 二連単, 2  3, 313, 301, 1.04, 36
07_蒲　郡-07R, 二連単, 2  3, 292, 301, 0.97, 29
01_桐　生-08R, 二連単, 2  3, 769, 301, 2.555, 41
09_津-12R, 二連単, 2  3, 306, 301, 1.017, 24
18_徳　山-01R, 三連単, 2  3  1, 1523, 784, 1.943, 2
01_桐　生-08R, 三連単, 2  3  1, 1063, 784, 1.356, 12
10_三　国-11R, 三連単, 2  3  1, 757, 784, 0.966, 17
13_尼　崎-11R, 三連単, 2  3  1, 909, 784, 1.159, 12
10_三　国-01R, 三連単, 2  3  4, 1143, 1109, 1.031, 7
23_唐　津-01R, 三連単, 2  3  4, 1349, 1109, 1.216, 2
21_芦　屋-03R, 三連複, 2  3  4, 336, 370, 0.908, 42
01_桐　生-08R, 三連単, 2  3  4, 1051, 1109, 0.948, 15
20_若　松-09R, 三連複, 2  3  4, 334, 370, 0.903, 58
17_宮　島-10R, 三連単, 2  3  4, 1163, 1109, 1.049, 6
26_組合(戸江平多浜常)-12R, 三連単, 2  3  4, 924, 1109, 0.833, 56
28_組合(宮徳下芦福唐大)-12R, 三連単, 2  3  4, 908, 1109, 0.819, 49
35_大组(戸江平多浜常宮徳下芦福唐大)-12R, 三連単, 2  3  4, 1681, 1109, 1.516, 105
10_三　国-01R, 三連複, 2  3  5, 389, 432, 0.9, 23
16_児　島-01R, 三連複, 2  3  5, 406, 432, 0.94, 18
15_丸　亀-01R, 三連単, 2  3  5, 1395, 1077, 1.295, 3
16_児　島-01R, 三連単, 2  3  5, 958, 1077, 0.89, 3
19_下　関-01R, 三連単, 2  3  5, 1267, 1077, 1.176, 2
18_徳　山-04R, 三連単, 2  3  5, 1326, 1077, 1.231, 3
23_唐　津-04R, 三連単, 2  3  5, 1022, 1077, 0.949, 9
15_丸　亀-05R, 三連単, 2  3  5, 947, 1077, 0.879, 8
01_桐　生-06R, 三連複, 2  3  5, 352, 432, 0.815, 20
03_江戸川-09R, 三連単, 2  3  5, 960, 1077, 0.891, 8
12_住之江-10R, 三連複, 2  3  5, 471, 432, 1.09, 30
35_大组(戸江平多浜常宮徳下芦福唐大)-10R, 三連単, 2  3  5, 970, 1077, 0.901, 151
24_大　村-11R, 三連複, 2  3  5, 458, 432, 1.06, 39
