競賽場, 競賽類型, 警報, 剩余数, 最大空格, 比率, 出現回数
01_桐　生, 単勝一着, 1, 0, 32, 0, 9343
01_桐　生, 単勝ニ着, 1, 1, 78, 0.013, 4329
01_桐　生, 拡連複, 1  2, 0, 26, 0, 8497
01_桐　生, 二連複, 1  2, 1, 60, 0.017, 4352
01_桐　生, 二連単, 1  2, 8, 106, 0.075, 3004
01_桐　生, 三連複, 1  2  3, 4, 97, 0.041, 2876
01_桐　生, 三連単, 1  2  3, 35, 310, 0.113, 1064
01_桐　生, 三連複, 1  2  4, 13, 112, 0.116, 2420
01_桐　生, 三連単, 1  2  4, 13, 403, 0.032, 788
01_桐　生, 三連複, 1  2  5, 0, 124, 0, 1897
01_桐　生, 三連単, 1  2  5, 8, 486, 0.016, 651
01_桐　生, 三連複, 1  2  6, 3, 235, 0.013, 1304
01_桐　生, 三連単, 1  2  6, 25, 366, 0.068, 501
01_桐　生, 拡連複, 1  3, 4, 34, 0.118, 7537
01_桐　生, 二連複, 1  3, 4, 73, 0.055, 3343
01_桐　生, 二連単, 1  3, 4, 147, 0.027, 2293
01_桐　生, 三連単, 1  3  2, 4, 317, 0.013, 765
01_桐　生, 三連複, 1  3  4, 19, 119, 0.16, 2012
01_桐　生, 三連単, 1  3  4, 20, 429, 0.047, 609
01_桐　生, 三連複, 1  3  5, 11, 172, 0.064, 1582
01_桐　生, 三連単, 1  3  5, 11, 475, 0.023, 535
01_桐　生, 三連複, 1  3  6, 12, 196, 0.061, 1067
01_桐　生, 三連単, 1  3  6, 17, 535, 0.032, 384
01_桐　生, 拡連複, 1  4, 9, 34, 0.265, 6894
01_桐　生, 二連複, 1  4, 9, 99, 0.091, 2722
01_桐　生, 二連単, 1  4, 9, 156, 0.058, 1793
01_桐　生, 三連単, 1  4  2, 15, 354, 0.042, 574
01_桐　生, 三連単, 1  4  3, 28, 400, 0.07, 508
01_桐　生, 三連複, 1  4  5, 9, 203, 0.044, 1457
01_桐　生, 三連単, 1  4  5, 9, 604, 0.015, 412
01_桐　生, 三連複, 1  4  6, 14, 228, 0.061, 1005
01_桐　生, 三連単, 1  4  6, 226, 644, 0.351, 299
01_桐　生, 拡連複, 1  5, 0, 41, 0, 5690
01_桐　生, 二連複, 1  5, 0, 120, 0, 2063
01_桐　生, 二連単, 1  5, 0, 219, 0, 1405
01_桐　生, 三連単, 1  5  2, 0, 611, 0, 478
01_桐　生, 三連単, 1  5  3, 26, 610, 0.043, 376
01_桐　生, 三連単, 1  5  4, 195, 891, 0.219, 301
01_桐　生, 三連複, 1  5  6, 34, 358, 0.095, 754
01_桐　生, 三連単, 1  5  6, 34, 765, 0.044, 250
01_桐　生, 拡連複, 1  6, 3, 69, 0.043, 4130
01_桐　生, 二連複, 1  6, 12, 175, 0.069, 1192
